SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Lizzie V Hall,,,Schooner,1878,,4/5/1922,1922,4,5,"Port Reading, NJ",,,Stranded,,,,,,195,,,,,,3,,0,,,,,,,N,#140332
Mohawk (1922),,,Steamship,1890,,8/9/1922,1922,8,9,"Castle Hook, NJ",,,Stranded,,,,,,535,,,,,,,19,0,,,,,,,N,#92168
Northern Pacific,,Great Northern SS Co,Passenger liner,1915,"Philadelphia, PA",2/8/1922,1922,2,8,Cape May SE 25 mi,38.63916,-74.39833,,,,,,,,,,,,,,,,,,,,A,Y,Y,#212926; In route for refit; total loss
Orlando V Wooten,,,Schooner 4 masted,1901,"Bath, ME",4/8/1922,1922,4,8,Barnegat,,,Stranded,,,167.2,36.2,13.6,677,573,"New York, NY",,,A J Huston,8,,0,,,,,Y,Y,N,#155427; Total loss
Addie Wooster,,,Motor vessel gas,1914,,6/15/1921,1921,6,15,Atlantic City,,,Stranded,,,,,,10,,,,,,1,,0,,,,,Y,Y,N,#213246; Total loss
Amos Briggs,,,Schooner,1868,"Cornwall, NY",4/14/1921,1921,4,14,Sandy Hook,,,Stranded,,,86,26.5,6,93,88,"Newark, NJ",,,,7,,0,,,,,,,N,#1401
Atlantic (1921),,,Barge,1899,"Elkton, MD",11/28/1921,1921,11,28,"Seabright, NJ",,,Stranded,,,,,,399,399,"Baltimore, MD",,,,2,,0,,,,,,,N,#30299
Baspaco,,,Scow,1913,,10/29/1921,1921,10,29,"Port Reading, NJ",,,Burned,,,,,,201,,"Port Reading, NJ",,,,1,,0,,,,,,,N,
Britannia (1921),,,Steamship,1883,,10/1/1921,1921,10,1,Jersey City Pier,,,Stolen,,,,,,66,,,,,,,,,,,,,Y,Y,N,Stolen; Never seen again
Bronx,,,Steamship,1902,"New York, NY",7/10/1921,1921,7,10,Atlantic City,,,Foundered,,,47.6,10.7,4,11,7,"Philadelphia, PA",,Passenger service,,4,,0,,,,,,,N,#200996
Caddo (08/1921),,,Barge,1910,"Port Richmond, NY",8/26/1921,1921,8,26,Ship Bottom E 6 mi,39.64444,-74.05805,Foundered,Steel,,,,,432,432,"Port Arthur, TX",,,,3,,0,,,,,A,,N,#164012; 
Caddo (12/1921),,Standard Oil Co of NJ,Tanker,1912,"New Castle, England",12/2/1921,1921,12,2,Barnegat,,,Stranded,Steel,US,414.5,55.2,30.7,6329,3862,"New York, NY",,,,36,,,,"$625,000",8600 ton Fuel Oil,,N,N,N,#212945; Refloated
Carrie Clark,Anna; Carrie M Clark; SP-1238,Neptune Line,Schooner - Barge,1874,"Waldoboro, ME",11/28/1921,1921,11,28,Highlands Light NW,,,Foundered,Wood,US,188,39.6,24.1,1298,1260,"Boston, MA","Hampton Roads, VA","Providence, RI",,3,,3,,,Coal,,Y,Y,Y,"#125309; Total loss; Same tow as ""Governor Robie"""
Governor Robie,,,Schooner - Barge,1883,"Bath, ME",11/28/1921,1921,11,28,Highlands Light NW,,,Foundered,Wood,US,224.1,41,23.8,1712,1481,"New York, NY","Hampton Roads, VA","Boston, MA",,3, ,3,,,Coal,,,,N ,"#85770; Same tow w/ ""Carrie Clark"""
"Graham, USS",DD-192,U S Navy,Destroyer,1918,"Newport News, VA",12/16/1921,1921,12,16,"Sea Girt, NJ",,,"Collision w/ ""Panama""",Steel,US,314.5,31.9,9.3,1190,,,,,,101,,0,,,,,N,N,N,Towed; Hull sold as scrap
Kennebec (1921),,Chesbrough Bros,Steamship,1901,"Port Huron, MI",6/18/1921,1921,6,18,Barnegat Light E 30 mi,39.43333,-73.53747,Foundered,Steel,,243.5,43.2,24,2183,1913,,"New York, NY","Houston, TX",,28,,0,,,Iron plates; Freight service,,A,,N,#161178
Lady Betty,,,Motor vessel gas,1912,,8/25/1921,1921,8,25,"Tuckerton, NJ",,,Burned,,,,,,12,,,,,,0,,0,,,,,,,N,#212088
Malden,,New England Fuel & Trans Co,Freighter,1907,"Quincy, MA",9/19/1921,1921,9,19,Montauk Point E 10 mi,41.09666,-71.87277,,,,,,,,,,,,,,,,,,,,F,Y,Y,Sank after salvage attempts
Mary K,,,Motor vessel gas,1920,"Waverly Hills, SC",11/15/1921,1921,11,15,Sandy Hook,,,Burned,,,42,11.8,2.8,12,11,"Georgetown, SC",,,,2,,0,,,,,Y,Y,N,#220613; Total loss
Pontiac,,,Motor vessel gas,1888,,6/24/1921,1921,6,24,"Jersey City, NJ",,,"Collision w/ ""NY Central #18""",,,,,,12,,,,,,2,,1,,,,,,,N,#150733
Silvanus,,Southern Transportation Co,Schooner - Barge,1919,"Newington, NH",11/28/1921,1921,11,28,"Monmouth Beach, Long Branch",40.33771,-73.97123,Foundered in storm,Wood,US,267.3,46,23.6,2202,2095,"Philadelphia, PA","Norfolk, VA","Boston, MA",A B Smith,5,,0,"$90,000","$18,382",3872 ton coal,,A,Y,N,#278173; Total loss
Singleton Palmer,,France & Canada SS Co,Schooner,1904,"Waldoboro, ME",11/6/1921,1921,11,6,Five Fathom Bank Lightship E 13 mi,,,"Collision w/ ""Apache""",Wood,US,294,45,28,2859,,"New York, NY","Perth Amboy, NJ","Norfolk, VA",J M Griffin,10,,1,,,In ballast,,Y,Y,N,"Total loss; Crew rescued by ""Gloucester"""
William S Ronan,,,Canal boat,1894,,11/15/1921,1921,11,15,"Shady Side Basin, NJ",,,Foundered,,,,,,105,,,,,,1,,0,,,,,,,N,#167043
Worcester,,,Schooner - Barge,1904,"Elkton, MD",11/27/1921,1921,11,27,"Seabright, NJ",,,Stranded,Wood,,200,30.1,12.6,625,594,"Baltimore, MD",,,,4,,0,,,,,,,N,#201604
Cabrille,,,Steamship,,,7/23/1920,1920,7,23,Brigantine Shoal,,,Grounded,,,,,,,,,,,,,,,,,,,,,N,
Cambria,,,Steamship,1871,,2/14/1920,1920,2,14,"Jersey City, NJ",,,Burned,,,,,,85,,,,,,1,,0,,,,,,,N,#5909
Coastwise,,,Tug steam,1900,,7/19/1920,1920,7,19,Monmouth Beach E 30 mi,40.33333,-73.30000,Foundered,,,,,,268,,,,,,,,,,,,,A,Y,Y,Hydro #202; Sank
Dorwina,,,Motor vessel gas,1901,,6/27/1920,1920,6,27,,,,Burned,,,,,,14,,"Newark, NJ",,,,0,,0,,,,,,,N,#157613
Florence Thurlow,John D Colwell,Dormell & McKown,Schooner,1906,"Rockland, ME",5/12/1920,1920,5,12,"Seagirt, NJ",,,"Collision w/ ""Laramie""",,US,191.6,39.2,12.1,1042,946,"Boston, MA",,,H M Blake,14,,0,,,,,Y,Y,N,"#203149; Total loss; Originally ""John D Colwell"""
George R Skolfield,,Seaboard Transportatiion Co,Schooner - Barge,1885,"Brunswick, ME",2/20/1920,1920,2,20,"Sea Isle City, NJ",,,Stranded,Wood,US,232.1,39.9,24.6,1728,1646,"Boston, MA","Fall River, MA","Hampton Roads, VA",,4,0,0,,,In ballast,,Y,Y,N,#85891; Total loss
Jersey Belle,,,Cruiser steam,,,1920,1920,,,Wildwood E 2 mi,38.96833,-74.78583,,,,,,,,,,,,,,,,,,,,A,,N,
Joker II,,,Motor vessel gas,1905,"Friendship, ME",4/27/1920,1920,4,27,Cape May,,,Foundered,Wood,,33.5,10.9,5.5,12,5,"Gloucester, MA",,Fishing service,,3,,0,,,,,,,N,#203693
Karlanna,,,Steamship,1906,,1/19/1920,1920,1,19,Cold Spring Inlet,,,Stranded,Wood,,,,,178,,,,,,8,,0,,,,,Y,Y,N,#203280; Total loss
Kehuka,,,Tanker,,,7/28/1920,1920,7,28,Avalon E 3 mi,39.07333,-74.66500,Exploded,,,,,,,,,,,,,,,,,,,A,Y,N,Sank
L C Regina,,,Motor vessel gas,1916,,1/16/1920,1920,1,16,Bayonne,,,Burned,,,,,,9,,,,,,2,,0,,,,,,,N,#215817
Lake Frampton,,,Steamship,1918,"Lorain, OH",7/12/1920,1920,7,12,Atlantic City,,,"Collision w/ ""Comus""",Steel,US,251,43.6,26.2,2622,1621,"Cleveland, OH","New York, NY","Norfolk, VA",,32,,2,,,,,,,Y,#217288
Marie C Beazley,,,Schooner,1918,,2/8/1920,1920,2,8,Fenwick Island,,,Burned,,,,,,2414,,,,,,,,,,,,,,,N,
Morgan #1,,,Motor vessel gas,1891,,9/21/1920,1920,9,21,"Jersey City, NJ",,,Foundered,,,,,,24,,,,,,0,,0,,,,,,,N,#150521
Plover,,,Motor vessel gas,1913,,10/26/1920,1920,10,26,"Elizabethport, NJ",,,Burned,,,,,,17,,,,,,2, ,0,,,,,,,N,#210983
Rio Tinto,,,Barge,1911,,8/9/1920,1920,8,9,"Camden, NJ S",,,Foundered,Steel,,,,,419,,,,,,2,0,1,,,,,,,N,#164651
S 5,SS-110,U S Navy,Submarine,1920,"Portsmouth, NH",9/1/1920,1920,9,1,Cape May SE 60 mi,38.30690,-74.13883,,,,,,,,,,,,,,,,,,,,F,Y,Y,Total loss
Sarah E Lockwood,,,Sloop,,,4/9/1920,1920,4,9,"Leonards, NJ",,,Crushed by ice,,,,,,12,,,,,,,,0,,,,,Y,Y,N,#23858
St Louis,,,Sidewheel steam,1895,,1/8/1920,1920,1,8,"Hoboken, NJ",,,Burned,Steel,,,,,10230,,,,,,0,,0,,,,,,,N,#116669
Visitor (1920),,,Steamship,1892,,1/2/1920,1920,1,2,"Sewaren, NJ",,,Burned,Steel,,,,,70,,,,,,2,,0,,,,,,,N,
William C May,,May Transportation,Schooner,,,6/21/1920,1920,6,21,,32.40000,-71.50000,,,,,,,,,,,,,,,,,,,,F,,N,
William O'Brien,,,Steamship,,,4/18/1920,1920,4,18,Unknown,,,Lost at sea,,,,,,5211,,,"New York, NY",,,,40,40,,,,,Y,Y,N,Left NY; Never heard from again
Confidence (1919),,,Barge,1901,,1/26/1919,1919,1,26,"Newark, NJ",,,Burned,,,,,,163,,,,,,1,,0,,,,,,,N,#34413
Edward J McKeever Jr,SP-684,U S Navy,Patrol boat,1910,"Noank, CT",5/21/1919,1919,5,21,,,,Decommissioned,Steel,US,136,15.8,7.8,223,,Atlantic Coast,,Patrol duty,M F Johnson,21,,0,,,,,N,N,Y,Fishing boat served as patrol boat in WWI
Electra,,,Motor vessel gas,1905,,12/20/1919,1919,12,20,"Angelsea, NJ",,,Burned,,,,,,14,,,,,,2,,0,,,,,,,N,#201809
Ethel M,,,Motor vessel,1910,"Edgartown, MA",5/10/1919,1919,5,10,Atlantic City,,,Foundered,,,33.5,15,4,12,10,"Vineyard Haven, MA",,,,3,,0,,,,,,,N,#207288
Graf Waldersee,,U S Transport Service,Steamship,,,6/11/1919,1919,6,11,Ambrose Light SE 25 mi,,,"Collision w/ ""Redondo""",,US,560,62,41,13193,8375,,,,,,,,,,,,N,N,N,Saved
John F Dunphy,,,Steamship,1876,,2/26/1919,1919,2,26,"Communipaw, NJ",,,"Collision w/ ""Lester A Forsyth""",,,,,,28,,,,,,3,,0,,,,,,,N,#6903
Maude F,,,Motor vessel gas,1909,,9/15/1919,1919,9,15,Corsons Inlet bar,,,Foundered,,,,,,9,,,,,,0,,0,,,,,,,N,#206482
Passaic Bridge,,,Freighter,1919,"Newark, NJ",10/4/1919,1919,10,4,Barnegat,,,Stranded,Steel,US,324,46.2,25,3658,2256,"Newark, NJ",,,,37,,,,,Maize & linseed,,N,N,N,#217926; Refloated
Speria,,J W Elwell & Co,Steamship,1899,,6/15/1919,1919,6,15,Barnegat Inlet N 12 mi,,,Stranded,Steel,England,340.2,45,15.3,3362,2147,,,,,,,,"$1,035,830",,Dates,,N,N,N,Refloated
Sylvan Dell,,,Steamship,1872,,7/16/1919,1919,7,16,"Salem, NJ E 3 mi",,,Burned,,,,,,440,,,,,,12,,0,,,,,,,N,#115040
Yankee,,U S Shipping Board,Freighter steam,1890,"Cleveland, OH",6/11/1919,1919,6,11,Monmouth Beach E 35 mi,40.33333,-73.27500,"Collision w/ ""Argentina""",Steel,US,296.2,40.4,21.1,2418,1793,"New York, NY","Norfolk, VA","Boston, MA",Dennis Morgan,22,8,0,,,Coal,,F,Y,Y,#86129; Hydro Office #589
Admiral Dewey,,,Barge,1898,,1/24/1918,1918,1,24,New Jersey coast,,,Burned,,,,,,303,303,,,,,2,,0,,,,,,,N,#166925
Almirante,Flour Wreck,United Fruit Co,Passenger cargo ship,1909,"Belfast, Ireland",9/6/1918,1918,9,6,Atlantic City ESE 9 mi,39.35333,-74.19194,"Collision w/ ""USS Hiasko""",Steel,US,379,50,29,5010,3120,"New York, NY","New York, NY","Havana, Cuba",,98,7,5,,,"Flour, general cargo",,A,Y,Y,Hydro # 596
American (1918),,,Transport,,,10/18/1918,1918,10,18,"Hoboken, NJ",,,Sank at pier,,,,,,,,,,,,,,,,,,,Y,Y,N,
Armitage Bearly,,,Steamship,1863,"Philadelphia, PA",12/5/1918,1918,12,5,"Stone Harbor, NJ",,,Stranded,Wood,US,117.4,17,7,237,,"Bridgeport, CT",,,,0,,0,,,,,,,N,#985
Baby Blue,,,Barge,1907,,4/16/1918,1918,4,16,"New York, NY",,,Collision w/ unknown barge,,,,,,463,,,,,,,,,,,,,,,N,
Bavaria,,U S Shipping Board,Steamship,,,6/16/1918,1918,6,16,Brigantine Shoal,,,Stranded,,US,355.3,44,26,3898,2466,,,,,,,,"$900,000","$318,000",sugar,,N,N,N,Refloated
Benjamin A Smith,,,Schooner,1907,,5/14/1918,1918,5,14,Barnegat S 25 mi,,,Collision in fog,Wood,US,116,25.6,10.6,146,75,"Gloucester, MA",,,Norman Ross,,,6,"$18,000",,,,,,N,
Bertha (1918),,Diamond P Trans Co.,Barge,1898,,12/6/1918,1918,12,6,Hog Shoal E 2 mi,,,Foundered,Wood,us,,,,310,,"Philadelphia, PA","Millville, NJ","Chester, PA",Frank Turner,2,,0,"$12,000",$900,550 ton Sand,,,,N,#3766
Bertie Baxter,,Clara E Wagner,Schooner,1884,,3/10/1918,1918,3,10,"Egg Island, NJ",,,Foundered in storm,Wood,,,,,55,52,"Philadelphia, PA","Philadelphia, PA","Egg Island, NJ",Theodore Whilden,4,0,0,"$1,000",$120,Sand,,,,N,#3301
Carolina (1918),,NY & Porto Rico SS Co,Passenger cargo ship,1896,"Newport News, VA",6/2/1918,1918,6,2,Sandy Hook SE 125 mi,39.09305,-73.11500,,,,,,,,,,,,,,,,,,,,F,Y,Y,Black Sunday wreck
Chapparra,Tinhow,"Empresa Naviera de Cuba, S.A. ",Freighter,1906,"Port Glasgow, England",10/27/1918,1918,10,27,Barnegat SE 10 mi,39.73138,-73.98861,,,,,,,,,,,,,,,,,,,,A,Y,Y,
Cherokee (1918),Edgar F Luckenbach,U S Navy,Tug,1891,"Camden, NJ",2/26/1918,1918,2,26,Fenwick Island Light NNE 12.5 mi,38.59805,-74.65805,,,,,,,,,,,,,,,,,,,,A,Y,Y,"Sank; Also called ""Gunboat"" by divers"
City of Athens,Somerset,Savannah Line,Passenger liner,1911,"Camden, NJ",5/1/1918,1918,5,1,Hereford E 20 mi,,,"Collision w/ ""La Glorie""",Steel,US,309.1,46.2,19.3,3648,,"Savannah, GA","New York, NY","Savannah, GA",J Forward,70,69,67,,,,,Y,Y,Y,#208533; Total loss
Dorothy B Barrett,,Gardiner G Deering,Schooner,1904,"Bath, ME",8/14/1918,1918,8,14,"Angelsea, NJ SE 22 mi",38.90000,-74.56666,,,,,,,,,,,,,,,,,,,,A,Y,Y,#201637; Crew allowed to leave
Edward H Cole,,Crowell & Thurlow,Sailing ship,1904,"Rockland, ME",6/2/1918,1918,6,2,Little Egg Inlet E 40 mi,39.23694,-73.39583,,,,,,,,,,,,,,,,,,,,A,Y,Y,#200662; Black Sunday wreck
El Sol,,U S Transportation,Steamship,1910,"Newport News, VA",2/11/1918,1918,2,11,Beach Haven,,,Stranded,Steel,US,405.6,53.1,33.7,6008,3747,"New York, NY",,,,64,,,"$1,883,000","$600,000",,,N,N,N,#207751; Refloated
Etoile Polare,,Gourmay - Joly,Bark,1896,"Christiansand, Norway",12/23/1918,1918,12,23,"Seabright, NJ",,,Stranded,Steel,France,150.1,27.8,12.1,412,330,,,,,,,,,,Coal,,,,N,
Florence May,,,Sloop,1898,,2/16/1918,1918,2,16,"Dennisville, NJ",,,Crushed by ice,,,,,,8,,,,,,0,0,0,,,,,Y,Y,N,#121173; Sunk
Frederick R Kellogg,,Pan-American Petroleum Co,Tanker,1917,"Oakland, CA",8/15/1918,1918,8,15,Barnegat Light NE 12 mi,,,Torpedoed by U-117,Steel,US,425.8,57,31.4,7127,4418,"Los Angeles, CA","Tampico, Mexico","Boston, MA",C H White,42,0,7,,,"70,000 bbls crude oil",,N,N,Y,#215424; All oil lost; ship refloated
Freighter,Dive boat capt nickname,,Freighter,,,1918,1918,,,Sea Girt E 6 mi,40.13361,-73.89444,,,,,,,,,,,,,,,,,,,Diving wreck,A,Y,N,60 ft; Unknown history
Gorredyk,,U S Shipping Board,Steamship,1902,,7/18/1918,1918,7,18,Cape May McCries Shoal ,,,Stranded,Steel,Netherlands,,,,6463,4154,,,,,,,,"$1,500,000","$2,000,000",Military Supplies,,,,N,
Hammond,,P & R Transportation Line,Schooner - Barge,1895,"Noank, CT",4/12/1918,1918,4,12,"Holly Beach, NJ",,,Stranded,Wood,US,173.2,35,14.2,693,613,"Philadelphia, PA","Marblehead, MA","Philadelphia, PA",G H Redman,4,0,0,"$35,000",,None,,Y,Y,N,#96319; Total loss
Hampshire,,Westmoreland Coal Co,Schooner - Barge,1920,"Bath, ME",3/10/1918,1918,3,10,Five Fathoms Bank Lightship E 3.5 mi,38.81922,-74.52222,,,,,,,,,,,,,,,,,,,,A,,N,#96490
Herbert L Pratt,ID# 2339,Atlantic Refining Co,Tanker,1918,"Alameda, CA",6/3/1918,1918,6,3,Overfalls Lightship SE 2.5 mi,,,Struck mine laid by U-151,Steel,US,435,56,27,7150,,,"Alameda, CA","Philadelphia, PA",,37,,0,,,None,,N,N,Y,Repaired and started service to Navy
Isabel B Wiley,,Atlas Shipping Corp,Schooner 3 masted,1906,"Bath, ME",6/2/1918,1918,6,2,Barnegat E 70 mi,39.01833,-73.11666,Torpedoed by U-151,,US,160.3,37.3,17.3,776,611,"Philadelphia, PA","Perth Amboy, NJ","Newport News, VA",Thomas G Thomason,7,,0,"$100,000",,No cargo; Looted by sub crew,,F,Y,Y,#202848; Total loss; Black Sunday wreck
Jacob M Haskell,,Crowell & Thurlow,Schooner,1901,"Rockland, ME",6/2/1918,1918,6,2,Barnegat Light SE 50 mi,39.60000,-73.02500,Torpedoed by U-151,Wood,US,226.8,42,20.5,1778,1362,"Boston, MA","Norfolk, VA","Portland, ME",William H Davis,10,,0,,,Coal,,A,Y,Y,#77478;  Total loss; Black Sunday wreck
James M Tucker,,,Canal boat,1897,,4/20/1918,1918,4,20,"Port Reading, NJ",,,Foundered,,,,,,118,,,,,,1,,0,,,,,,,N,#165337
John W Garrett,,,Steamship,,,8/3/1918,1918,8,3,Delaware River,,,Collision w/ launch,,,,,,,,,,,,,,3,,,,,,,N,
Louie S Allen,,,Motor vessel gas,1891,,8/5/1918,1918,8,5,"Somers Point, NJ",,,Burned,,,,,,10,,,,,,,,0,,$0,,,,,N,#141149
McAllister Bros No 34,,McAllister Brothers Inc,Barge,1883,,4/23/1918,1918,4,23,"Greenville, NJ",,,"Collision w/ ""Transfer #16""",,,,,,187,,,,,,1,,0,,,,,,,N,#167084
Onondaga,,Clyde SS Co,Steamship,1905,"Philadelphia, PA",6/28/1918,1918,6,28,,,,Stranded,,,275.9,40.1,19.5,2696,,,,,,,,,,,,,,,N,
Pawnee,,,,1896,,9/19/1918,1918,9,19,"East Millstone, NJ",,,Burned,,,,,,20,,,,,,1,,0,,,,,,,N,#150727
Port Philip,,Commonwealth & Dominican,Steamship,1912,"Belfast, Ireland",10/16/1918,1918,10,16,Ambrose Channel Sandy Hook,,,"Collision w/ ""USS Proteus""",,England,490.2,61.4,32.9,8491,,"London, England",,,,55,,49,,,,,,,N,#135175
Poseidon,,Koninkl Nederland Stoomb Maats,Freighter,1914,"Glasgow, Scotland",7/31/1918,1918,7,31,Five Fathom Bank Lightship NNE 5 mi,,,"Collision w/ ""Sommerset""",Steel,Netherlands,295,43,17,1911,,"Amsterdam, Netherlands","Boston, MA","Norfolk, VA",J Dorie,37,,6,,,Coal,,Y,Y,N,Total loss; Chartered by US Trans Authority
Proteus,,Southern Pacific Co,Passenger freighter,1900,"Newport News, VA",6806,1918,8,19,"Diamond Shoals, NC NE 45 mi",34.76530,-75.78350,"Collision w/ ""Cushing""",Steel,US,390,48,29,4836,,"New York, NY","New Orleans, LA","New York, NY",Harry T Boyd,83,12,1,"$1,225,000","$3,020",General,,F,Y,Y,"Crew/passengers rescued by ""Cushing"""
Saetia,Colorado,U S Shipping Board,Freighter,1918,"Wilmington, DE",11/9/1918,1918,11,9,Delaware Bay entrance,38.22333,-74.75611,,,,,,,,,,,,,,,,,,,,A,Y,N,Sank; War loss
San Diego USS,,U S Navy,Armored Cruiser,1904,"San Francisco, CA",7/19/1918,1918,7,19,Fire Island S 10 mi,40.50642,-73.06116,Struck mine laid by U-56,Steel,US,503,69.5,26,13680,,,"Portsmouth, NH","New York, NY",HH Christy,1237,,50,,,,,A,Y,Y,
San Saba,Colorado,Mallory SS Co,Freighter,1879,"Chester, PA",10/4/1918,1918,10,4,Barnegat Light E 15 mi,39.69916,-73.95222,Struck mine laid by U-117,Steel,US,306,39,21,2458,,"New York, NY","New York, NY","Tampa, FL",Bergen Birdsall,,,,,,General,,A,Y,Y,Total loss; Broke in two
SC-209,,U S Navy,Submarine Chaser,1917,"Camden, NJ",8/27/1918,1918,8,27,Long Island S,40.13333,-73.20000,"Gunfire from ""Felix Taussig""",Steel,US,110,14.9,5.8,85,,"New York, NY","New York, NY",Patrol Duty,,26,,18,,,,,F,Y,Y,Mistaken for enemy sub
SC-60,,U S Navy,Submarine Chaser,1918,"New York, NY",10/1/1918,1918,10,1,Ambrose Light S 5 mi,,,"Collision w/ ""Fred M Weller""",Steel,US,110,14.9,5.8,85,,"New York, NY","New York, NY",Patrol Duty,,26,,,,,,,Y,Y,N,
Somerset (1918),,,Schooner - Barge,1905,"Elkton, MD",2/10/1918,1918,2,10,Ambrose Light,,,Foundered,,,200,30.2,12.6,629,597,,,,,3,,0,,,,,,,N,#201808
Sommerstadt,Virginia,A F Klaveness & Co,Steamship,1906,"Newcastle, England",8/12/1918,1918,8,12,Fire Island SE 25 mi,40.12333,-73.87166,Torpedoed by U-117,Steel,Norway,340,47.1,27.3,3875,,"Sandefjord, Norway","Bergen, Norway","New York, NY",George Hansen,,,,,,In ballast,,A,Y,Y,#5602752; War loss
Subchaser 60,SC-60,U S Navy,Submarine Chaser,1918,"New York, NY",10/1/1918,1918,10,1,Shrewsbury Rocks N 2 mi,40.37388,-73.94277,"Collision w/ ""Fred W Weller""",Wood,US,110,14,5,77,,"New York, NY",,On patrol,,27,,2,,,,,A,Y,N,Total loss
Susquehanna,,Joseph Owditore,Freighter steam,1886,"Buffalo, NY",3/7/1918,1918,3,7,Toms River LSS,,,Stranded,Steel,US,363.5,40,16,2781,2347,"New York, NY",,Freight service,,,,,"$400,000","$37,500",White clay,Toms River,N,N,Y,#116128; Refloated
Tarantula,SP-124,U S Navy,Patrol boat,1912,"Neponset, MA",10/28/1918,1918,10,28,Fire Island Light SW 8 mi,,,"Collision w/ ""SS Frisia""",Steel,US,128.9,19.3,9,169.97,,"New York, NY","New York, NY",Patrol Duty,, ,,,,,,,Y,Y,Y,
Texel,,U S Shipping Board,Steamship,1913,"Rotterdam, Denmark",6/2/1918,1918,6,2,Two Mile Beach E 73 mi,39.02194,-73.11472,,,,,,,,,,,,,,,,,,,,F,Y,Y,Black Sunday wreck
U-151,Black Sunday,German Navy,Submarine (U boat),1917,"Hamburg, Germany",6/2/1918,1918,6,2,New Jersey coast,,,"Sank 6 ships on ""Black Sunday""",Steel,Germany,213,29,17,1536,,"Hamburg, Germany","Kiel, Germany",War Patrol,Nostitz und Janckendorff,56,0,0,,,,,N,N,Y,Surrendured to France after WWI
Vindal,,A O Anderson,Steamship,1899,,3/22/1918,1918,3,22,Barnegat Inlet South side,,,Stranded,Steel,US,220,40,14,1290,985,,,,,,,,"$360,000","$300,000",Coffee & hides,,N,N,N,Refloated
Winneconne,,Ammerican Transatlantic Co,Freighter,1907,"Sunderland, England",6/2/1918,1918,6,2,Brigantine E 72 mi,39.43888,-70.83333,,,,,,,,,,,,,,,,,,,,F,Y,Y,#213661; Hydro #842; Black Sundaay wreck
Allentown (1917),,,Barge,1908,"Noank, CT",3/31/1917,1917,3,31,Highlands,,,"Collision w/ ""Coamo""",,,183.3,35,14.7,842,744,,,,,,,,,,,,,,N ,#205508
B F Fout,,,Barge,1905,,12/21/1917,1917,12,21,"Thompsons Point, NJ",,,Foundered,,,,,,125,,,,,,1,,0,,,,,,,N,
Betsey Ross,,,Motor vessel gas,,,11/24/1917,1917,11,24,,,,Burned,,,,,,6,,"Camden, NJ",,,,33,,0,,,,,,,N,#208715
Bowden,,A & S Frugtfast,Steamship,1912,"Fredrickstad, Norway",1/30/1917,1917,1,30,Barnegat Inlet,,,Stranded in fog,Steel,Norway,235,33.6,21.2,1255,716,"Christiania, Norway","Jamaica, WI","New York, NY",M H Henriksen,23,,0,"$434,000",,Sugar,Barnegat & USCG,N,N,N,Refloated
Cassie,,,Barge,1890,"Brooklyn, NY",10/24/1917,1917,10,24,Sandy Hook,,,Stranded,Steel,,,,,948,871,"Boston, MA",,,,5,,0,,,,,,,N,#59439
Chester (1917),,Chester Shipping Co,Steamship,,,11/1/1917,1917,11,1,"Lincoln Park, NJ",,,"Collision w/ ""Delaware""",Steel,,,,,419,285,"Philadelphia, PA","Chester, PA","Philadelphia, PA",John V Kelly,9,0,0,"$35,000","$6,000",General,,,,N,#127620
Coamo (A),Californian,,Steamship,1891,"Glasgow, Scotland",3/5/1917,1917,3,5,Barnegat,,,Stranded,Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,N,N,N,#127454; Refloated
Coamo (B),Californian,,Steamship,1891,"Glasgow, Scotland",4/1/1917,1917,4,1,Scotland Lightship S 15 mi,,,"Collision w/ ""Allentown""",Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,Y,Y,N,#127454; Sank
Cygnet,,,Steamship,1876,,12/20/1917,1917,12,20,"Shady Side, NJ",,,Burned,,,,,,43,,,,,,5,,0,,,,,,,N,#125511
Durley Chine,,,Steamship,,,4/22/1917,1917,4,22,Sandy Hook E 60 mi,,,Collision w/ British steamer,Steel,England,,,,1918,1157,,"Halifax, NS","Norfolk, VA",,,,,,,In ballast,,Y,Y,N,Sunk; Total loss
Ella A Dempsey,Newbern,J J Dempsey,Barge,1875,"Chester, PA",12/8/1917,1917,12,8,Beach Haven,,,Damaged in storm,Iron,US,,,,388,388,"Philadelphia, PA","New York, NY","Baltimore, MD",John Andrews,1,,,"$18,000",,487 ton garbage,,N,N,N,"#130055; In tow of ""O L Hallenbeck"""
